,EXEC,L2MISS,L3MISS,L3MPI,INST,PhysIPC%,L3HIT,IPC,INSTnom%,MEM,FREQ,L2MPI,GT,Pred
277,0.3232,0.02433345132742501,0.01190905190905191,0.012198561151079135,0.35429810604431716,0.6598550724637682,0.9908,0.6601449275362319,0.3232,0.022481442205726402,0.2824811885007592,0.03368323977547461,1.0238059177399998,1.0201326624540186
175,0.9674074074066666,0.29847787610612436,0.005519805519811241,0.0018711430855251798,0.4102210423760638,0.5694041867956522,1.0,0.5700483091775363,0.9678518518520001,0.008441145281018029,0.9800415889554389,0.13608660785887572,1.3137024500799999,1.268514276999719
311,0.44206060606066666,0.5653419147236936,0.005873405873410554,0.004355788096791367,0.6379433837281328,0.36640316205507245,1.0,0.36627140975000005,0.44193939394000004,0.008271474019088019,0.6960254678753826,0.566559743384349,1.02324813928,1.0646360119093998
46,0.6051428571426667,0.03305537294558122,0.014996629282350921,0.008097636176776979,0.39548453292344615,0.5908902691514494,0.992928571429,0.5910973084891306,0.6052380952386667,0.05186284906323083,0.5910669496428358,0.02440227975713087,1.03611259139,1.0406828198770741
568,0.432,0.024886725663718617,0.0077334477334534526,0.005899280575539568,0.2622941970162356,0.891304347826087,0.994166666667,0.891304347826087,0.43222222222266665,0.011964180511360906,0.2796160524791512,0.02568163592624526,0.9998021772869999,1.017356159188819
269,0.3413333333333333,0.029692035398219574,0.009009009009009009,0.008733812949640289,0.33342088432371264,0.7010869565217392,0.99425,0.7010869565217392,0.3413333333333333,0.013944856839872748,0.28094250434100676,0.03884723336007973,1.0167601798299999,1.0171466025069216
561,0.30704761904733335,0.04299519595442725,0.5007293007293008,0.5387872559093525,0.517618522786326,0.519668737060145,0.818857142857,0.5198757763985508,0.3068571428573333,0.6495985456755038,0.39323612910278094,0.0624143659067211,1.0875383859299999,1.1476118458339444
21,0.3398333333333334,0.02662566371680473,0.009502359502359503,0.009244604316546763,0.33411680546902334,0.7000000000000001,0.99325,0.6992753623188406,0.34,0.05506892895015907,0.28014663322389344,0.034994987971144746,1.01280179095,1.0077369895442403
677,0.3154666666666667,0.027114690265477127,0.008384384384384385,0.008768345323741007,0.35901346376247095,0.6510869565217392,0.9943,0.6510869565217392,0.3153333333333333,0.016096147048427007,0.2794038201812543,0.03826984763433772,1.02641417263,1.021826552385316
326,0.435822222222,0.6909026548680739,0.005413413413419134,0.0040585131894532375,0.6463612276105758,0.36193236715000004,1.0,0.3620289855072464,0.4359111111106666,0.006841522328257334,0.6942825905203764,0.6995990376919405,1.1049491545399999,1.1579746335707521
518,0.3416666666666666,0.03214513274335145,0.012621192621192623,0.012014388489208633,0.33395682050508296,0.7000000000000001,0.99275,0.7010869565217392,0.3416666666666666,0.019293036408624956,0.2812077947133779,0.04122894947876553,1.01359370635,1.016245929869097
378,0.44966666666666666,0.020007079646010614,0.012767052767052766,0.00910071942446043,0.25424036758955737,0.9202898550724639,0.988,0.9184782608695653,0.44933333333333336,0.020325203252032523,0.28173837545812014,0.019288291900569077,1.05000707683,1.014304748843931
395,0.33559999999999995,0.030918584070785512,0.005695409695409695,0.0056014388489208635,0.3483001087350489,0.6710869565217392,0.9965,0.671376811594203,0.33560000000000006,0.00828278543655002,0.2884236928418721,0.041178428227763096,1.0319994761,1.0162617916483834
325,0.2731111111113333,0.289359292035402,0.005891605891600172,0.0071318944844172664,0.43703396273795403,0.5349758454108696,1.0,0.5347826086956522,0.2728888888893333,0.008293154235885471,0.29436619718298496,0.4732157177215209,1.07161341134,1.049390703195877
622,0.44199999999999995,0.6169911504433214,0.006225272891943373,0.004671462829741008,0.63560909033008,0.36706924315652184,1.0,0.3672302737536232,0.44192592592533336,0.008582537999293037,0.694117520954874,0.6246992782676922,1.09990108335,1.1004250621719196
562,0.36166666666666664,0.3541592920363348,0.007647647647653366,0.0069400479616259,0.469328608765291,0.4981884057971015,1.0,0.4975845410615942,0.3617777777773333,0.01171674325439378,0.41898192809775464,0.4348436246994526,0.9982544694850001,0.9859174680026366
